round,loss,dice_WT,dice_TC,dice_ET
1,2.056625008583069,0.020919776521623135,0.0012794123031198978,0.0015240554348565638
2,1.9797055125236511,,,
3,1.9120465517044067,0.04381381347775459,0.0005708738462999463,0.00016616815992165357
4,1.8301123976707458,,,
5,1.754434049129486,0.06890843249857426,0.0010168796579819173,0.0
6,1.6618751287460327,,,
7,1.5870623588562012,0.07042419165372849,0.00033127269125543535,0.0
8,1.5270422101020813,,,
9,1.4664236903190613,0.07713651657104492,0.00017914414456754457,0.0
10,1.4097543358802795,,,
11,1.3716408014297485,0.08750604838132858,0.0,0.0
12,1.3060005903244019,,,
13,1.3627885580062866,0.08488238602876663,0.0,0.0
14,1.2234602570533752,,,
15,1.1965476274490356,0.12117675319314003,0.00040637819620314986,0.0
16,1.1304025053977966,,,
17,1.1145122647285461,0.12163830548524857,0.0,0.0
18,1.0760116875171661,,,
19,1.140614926815033,0.12953220680356026,0.0,0.0
20,1.0166702270507812,,,
