round,loss,dice_WT,dice_TC,dice_ET
1,1.2341590523719788,0.007588675711303949,0.0007439064211212099,0.0007285253232112154
2,1.1581544280052185,,,
3,1.085115373134613,0.006780422758311033,0.0006851956422906369,0.033389444462955
4,1.0497638583183289,,,
5,0.9954632222652435,0.03857157565653324,0.004220727598294616,0.04597635567188263
6,0.9215368032455444,,,
7,0.87031090259552,0.06455123983323574,0.013100394047796726,0.08000735193490982
8,0.8670051395893097,,,
9,0.7894583344459534,0.063727967441082,0.03192225098609924,0.15260426327586174
10,0.7519766390323639,,,
11,0.6868302822113037,0.06176783703267574,0.08407089859247208,0.11571860685944557
12,0.7004645764827728,,,
13,0.612875759601593,0.11143526434898376,0.1667611449956894,0.16071391850709915
14,0.5647054016590118,,,
15,0.5560759902000427,0.09306757152080536,0.17579732835292816,0.1686616986989975
16,0.4964437037706375,,,
17,0.48576271533966064,0.1204826831817627,0.19476008415222168,0.1830705925822258
18,0.43649984896183014,,,
19,0.4599805325269699,0.06632603891193867,0.11688094586133957,0.11382471397519112
20,0.3743370473384857,,,
