round,loss,dice_WT,dice_TC,dice_ET
1,1.2189310789108276,0.02849587332457304,0.004445370985195041,0.010519755072891712
2,1.103598266839981,,,
3,1.0586360394954681,0.03937051258981228,0.010590138845145702,0.04553891532123089
4,0.969622790813446,,,
5,0.9408344626426697,0.05784195475280285,0.010913518257439137,0.0020098513923585415
6,0.8505989611148834,,,
7,0.8107721507549286,0.04937931336462498,0.006916605867445469,0.007224352564662695
8,0.7710824608802795,,,
9,0.7303109169006348,0.056125324219465256,0.006159364013001323,0.0069646642077714205
10,0.6880502700805664,,,
11,0.6711363792419434,0.05092157609760761,0.0,0.0
12,0.6425251364707947,,,
13,0.5831676721572876,0.05692998506128788,0.00045228403178043664,0.00047732697566971183
14,0.5428028404712677,,,
15,0.524025097489357,0.06563449278473854,0.0002198285365011543,0.0002307337272213772
16,0.49281449615955353,,,
17,0.46910057961940765,0.05266818217933178,0.0030068900668993592,0.003258439712226391
18,0.45658864080905914,,,
19,0.4086751490831375,0.07062987051904202,0.007186276256106794,0.006712658796459436
20,0.3868229389190674,,,
